Date,Technology,Healthcare,Financials,ConsumerCyclical,ConsumerDefensive,Energy,Utilities,RealEstate,Materials,Industrials,CommunicationServices
11/25/2014,0,0,0,0,0,110995,0,0,0,0,0
11/26/2014,262322,114302,127208,48854,87780,40757,0,0,0,123943,204536
11/28/2014,0,0,0,0,0,51342695,201981651,0,0,49728782,0
12/11/2014,187500,264390,475100,223608,1943520,1652773,466058,810000,441746,95075,76627
12/12/2014,-64356,-35796,-31715,37774,-160409,989791,0,0,0,-18968,-44473
12/16/2014,-32892,-171159,0,0,181518,0,0,0,73633,0,0
01/02/2015,59759,370104,-1154439,214633,-89431,34540,0,0,0,36266,0
01/05/2015,0,-106586,-81716,-286984,0,0,0,0,0,0,0
01/06/2015,0,13065,0,72415,-39000,634633,0,0,-143922,-33478,0
01/07/2015,91816,-76615,477123,-265180,-156683,381816,296456,21308,-33003,365887,-246784
01/08/2015,-382699,-265656,230000,-1733361,4236843,155305,588879,289422,17243802,-338789,-125275
01/09/2015,630268,-620474,-1992042,940860,575742,-2416908,456467,289929,1457540,-2445638,-1893877
01/12/2015,1073471780,554275345,1000424227,669061341,925372312,682692190,-150192,-55000,361509380,577407787,311596647
01/13/2015,-13732412,-7586183,-7148814,-5073220,-7805547,-16388346,-1281854,-2522000,-4614276,-8475648,-3934782
01/14/2015,-85277,-342873,-41000,-202127,-537512,-206084,-184278,-75692,-126200,-65485,508553
01/15/2015,-326124,-136325,-197096,65195,-107600,2919059,901557,-83444,8908,6128,805010
01/16/2015,-656582,-935549,-793919,-84709,-455467,266944,-1000243,-174470,-491378,-994945,669240
01/20/2015,163933,-2226053,-529638,-678836,1185748,7041731,-281921,-509860,-766105,39292,1497121
01/21/2015,-3505240,2536959,-5486140,1462383,-825193,1240355,1540860,-555210,-2040484,3678926,6946996
01/22/2015,396269,-2221638,268027,480309,-736151,1503604,-284394,28324,8903,-1569702,1764094
01/23/2015,-28569995,-5799878,3596572,-2690288,884882,-18400184,-3087414,-645367,-3580014,1917873,16048185
01/26/2015,-671177,-1105555,-1887695,-1473920,8475064,347477,-661608,8161,7270823,-2881792,-213219
01/27/2015,14270304,-5271828,1925000,-4387558,998955,-4894822,463874,8346007,3090627,1592764,-6681622
01/28/2015,-8348586,-1745272,-7926049,182276,-975961,-2879155,-1333102,1031335,-89993,-6377837,-2210991
01/29/2015,983561,68309,792898,677,-1957974,17060949,105922,144222,1596713,1489956,750582
01/30/2015,8009062,3457748,9113879,3678818,4878153,9851080,489582,1601792,587498,2915055,7519854
02/02/2015,-26258734,-21684186,-24593174,-8061797,-153609757,-10699590,3295596,-1195634,2519775,-8312599,-63926567
02/03/2015,17003621,13804782,26123953,13018307,13895954,9160180,6194105,1410982,37497437,19701262,16533485
02/04/2015,-3622050,-5019121,3569571,14019155,1345798,-3072613,-7252387,-16439321,-11502512,-2471968,8521895
02/05/2015,-25808176,-11897253,-24344325,-12535405,-19490758,-20073938,-5193592,325823,11219266,-25844487,-7000171
02/06/2015,-372371,-18469534,16444376,-9364445,394105,37375032,4219446,4338944,8245953,-1508297,12124429
