Date,XLF,XLK,XLE,XLY,XLP,XLV,XLI,XLU,XLRE,XLB,XLC,SPY
2022-04-26,33.699363708496094,136.8102569580078,67.25625610351562,164.44769287109375,73.24976348876953,127.0035400390625,92.38634490966797,67.47628021240234,44.32061767578125,79.85128021240234,58.65558624267578,400.8006591796875
2022-04-27,33.670745849609375,138.83567810058594,68.24077606201172,164.4672393798828,73.5208511352539,126.72491455078125,92.73177337646484,67.15275573730469,44.054901123046875,81.02749633789062,57.34822463989258,401.92767333984375
2022-04-28,34.10009765625,144.3934326171875,70.31005096435547,167.84169006347656,74.6052017211914,128.473388671875,93.77769470214844,67.90147399902344,44.86122131347656,82.3080825805664,59.6409912109375,412.0801696777344
2022-04-29,32.92652893066406,138.37582397460938,68.50513458251953,159.31268310546875,72.57670593261719,125.1685791015625,91.29244995117188,65.86793518066406,42.698795318603516,80.65756225585938,57.62140655517578,396.85137939453125
2022-05-02,32.936073303222656,140.4795379638672,69.5990219116211,161.6405487060547,71.62322998046875,124.39043426513672,91.4843521118164,65.19316864013672,41.590087890625,80.41093444824219,59.21170425415039,399.24029541015625
2022-05-03,33.365421295166016,140.72415161132812,71.54979705810547,161.2395477294922,71.41757202148438,124.78433990478516,92.08887481689453,65.44274139404297,42.09404754638672,81.31208038330078,59.3678092956543,401.07037353515625
2022-05-04,34.386329650878906,145.6654510498047,74.52153778076172,165.97354125976562,73.02542114257812,127.55113983154297,94.75645446777344,66.9031753540039,42.588836669921875,83.94912719726562,61.40689468383789,413.2842102050781
2022-05-05,33.38450622558594,138.65957641601562,73.40028381347656,156.67178344726562,71.64192962646484,125.0725326538086,92.28077697753906,66.21916961669922,41.49846649169922,81.35003662109375,59.14340591430664,398.5948486328125
2022-05-06,33.14598083496094,137.54409790039062,75.58809661865234,154.68626403808594,71.71672058105469,124.67864990234375,91.65706634521484,66.74604797363281,41.07698059082031,80.18327331542969,57.923858642578125,396.2156677246094
2022-05-09,32.35406494140625,132.22119140625,69.33465576171875,148.09388732910156,71.68866729736328,121.45071411132812,89.44047546386719,66.24691009521484,39.16195297241211,77.65056610107422,56.42137145996094,383.530029296875
2022-05-10,32.06782150268555,134.2368621826172,69.96365356445312,147.6537322998047,71.19324493408203,121.8830337524414,88.85516357421875,65.44274139404297,38.29147720336914,77.16678619384766,56.6750373840332,384.4161682128906
2022-05-11,31.772052764892578,130.0000762939453,70.9025650024414,142.36224365234375,70.88475799560547,121.0760498046875,88.04913330078125,65.91415405273438,38.23649215698242,77.20475006103516,55.650611877441406,378.3092041015625
2022-05-12,31.533525466918945,128.65957641601562,71.2033920288086,143.34033203125,70.86605834960938,122.24809265136719,88.21224975585938,65.24861907958984,38.520545959472656,77.06243896484375,56.25550842285156,377.9143371582031
2022-05-13,31.99149513244629,132.9355010986328,73.6373062133789,148.9839630126953,71.93170928955078,123.5450439453125,89.3349380493164,66.02506256103516,39.482643127441406,78.2481689453125,57.57261657714844,386.94940185546875
2022-05-16,31.724342346191406,131.7613067626953,75.5789794921875,145.76602172851562,72.2588882446289,124.45771026611328,89.21018981933594,66.22843170166016,39.16195297241211,78.10588073730469,57.20188522338867,385.37939453125
2022-05-17,32.57350540161133,135.57736206054688,76.45408630371094,149.4436492919922,71.76344299316406,126.167724609375,91.23486328125,66.91242218017578,39.58342742919922,80.31605529785156,58.45070266723633,393.3067932128906
2022-05-18,31.676639556884766,129.3738250732422,74.49420166015625,139.67245483398438,67.14562225341797,122.91098022460938,87.8380355834961,66.26539611816406,38.428916931152344,77.82130432128906,56.5384407043457,377.451904296875
2022-05-19,31.466733932495117,127.95506286621094,74.22071838378906,139.770263671875,65.94908142089844,123.17996215820312,87.05118560791016,66.1267318725586,38.35561752319336,78.37149810791016,56.46038818359375,375.14019775390625
2022-05-20,31.409486770629883,128.23880004882812,74.53978729248047,137.33482360839844,66.08931732177734,124.67864990234375,86.1108169555664,66.31160736083984,38.80459213256836,78.1817626953125,56.60673522949219,375.303955078125
2022-05-23,32.430397033691406,131.18402099609375,76.50878143310547,138.36183166503906,67.4541015625,125.77383422851562,87.52136993408203,67.10652923583984,39.30854797363281,79.6141128540039,57.45555114746094,382.32586669921875
2022-05-24,32.36359786987305,129.23684692382812,76.80049896240234,134.80154418945312,68.55713653564453,126.14849090576172,87.47340393066406,68.44683074951172,39.76669692993164,79.1588134765625,55.41645431518555,379.4073486328125
2022-05-25,32.621212005615234,130.7436981201172,78.3866195678711,138.60635375976562,68.57583618164062,126.11009979248047,87.9819564819336,68.40059661865234,39.986602783203125,79.50978088378906,56.15794372558594,382.75933837890625
2022-05-26,33.37496566772461,133.88462829589844,79.25263214111328,145.40411376953125,69.30496978759766,126.64805603027344,89.7667465209961,68.59471893310547,39.94078063964844,80.97059631347656,57.523841857910156,390.40740966796875
2022-05-27,33.93788528442383,138.41493225097656,80.7020492553711,150.39242553710938,70.10888671875,128.75198364257812,91.60910034179688,69.66693878173828,41.06781768798828,82.86772918701172,58.753150939941406,399.9915466308594
